가게명,요리,개업,운영상태,별점,리뷰수,리뷰1,리뷰2,리뷰3
탕마루 생고기김치찌개 남성시장점,"찌개,전골",,영업 중,4.23,607,당신이 만약에 사당이수에 왔는데 시원 한 김치찌개와 푸짐 한 계란말이가 땡긴다면 여기여긴 반드시 와야합니다!,양이 엄청 푸짐해요! 삼겹살도 엄청 맛있는데 김치찌개도 맛있네요 삼겹살과 김치찌개는 여기서만 먹어요!,김치찌개가 먹고싶어서 검색해보고 갔는데 기대 이상으로 너무너무 맛있게 먹었어요! 강추입니닷
소문난집,"칼국수,만두",,오늘 휴무,4.31,928,"팥칼국수, 바지락수제비 맛있게 먹었어용 굿굿!",가게 이름만 보고 맛을 의심했는데 맛집 맞음 맛있음 칼국수 안땡겨서 수제비시켰는데 수제비도 충분히 맛있다,저렴한 가격의 시장 맛집입니다! 특히 서울에서 흔하지 않은 팥칼국수를 맛볼 수 있어서 너무 좋았어요!
루시케이크,케이크전문,,오늘 휴무,,34,,,
오끼 이수점,이자카야,,영업 중,,257,아 진짜 이집 정체가 뭐죠? 술집인줄 알았더니 본격 요리집이네요. ㅋㅎㅎ 음식이 너무 맛있어요.,하이볼 종류도 디게 많고 소주도 물론 맥주까지 판답니당 다음에 또 방문하겠습니다!,하이볼을 시켰더니 귀여운 토끼얼음이. 매장 분위기나 인테리어가 마치 일본여행 온 것 같은 착각.!
이수커피,카페,,영업 중,4.42,413,아이의 최애 음료 수박쥬스 올해 첫 개시 달콤하고 넘 맛나요,"그냥 운동끝나고 지나는길에 왓는데,아주 커피맛이 기분좋고 만족스러워, 올려봅니다.자주 들려야겟어요.",사장님께서 주문할때부터 넘 친절하셔서 기분 좋은 곳 아인슈페너도 잘 만드시네요
고슬미담,한식,,영업 중,,138,정갈하게 나온 한상차림도 굿 비빔밥 생각날때 다시 올 계획,한식파는곳 있어서 좋아요 청첩장 모임하기도 좋고 맛있었음!,"정갈하고 깔끔하고, 한식 비빔밥 맛집 오랜만에 방문해서 맛있게 먹었어요! :d"
충청삼겹 이수점,"육류,고기요리",,영업 중,,554,충청삼겹 소스삼겹 꼭 드세요! 간장계란밥 먹고 열무냉면 먹었는데 역시나 맛있었어용,충청도에는 삼겹살을 간장에 넣었다가 구워 먹는다고 들었어요.,이수 먹자골목 지나다니면서 한번 들려봐야지 하다가 드디어 왔네요 ㅎㅎ 소스 삼겹살이 무슨 느낌일까?
취향마라 이수역점,중식당,,영업 중,,999+,마라샹궈는 언제 먹어도 맛있고 꿔바로우도 너어어무 맛있어요!,지금까지 먹은 마라탕 중에 가성비 갑인 것 같아요!,"항상 마라탕에 꿔바로우 세트로 먹어요 미니부터 소, 대까지 고를수 있어서 좋아요"
용차이,중식당,,영업 중,,469,진짜 꿔바로우 맛집이에요!>< 소스가 딱 새콤달달하니 넘 맛있어요! 해물도 다양하게 들어가 있어요!,짬뽕은 칼칼하고 짜장은 역시 볶아서 맛있어요! 볶음밥 대박!,꿔바로우 좋아하시고 맛있는 꿔바로우 먹고 싶으시면 이 집으로 오세요 완전 꿔바로우 맛집이에요 감사합니다
이수치막,"치킨,닭강정",,영업 중,4.56,269,치킨과 막창을 세트로 먹을수있어서 술안주하기 좋아요,치킨이랑 막창이랑 같이 먹을 수 있어서 너무 좋았던 집. 그리고 중요한거건 완전 맛있어요.,화장실이 깨끗하고 선곡이 좋은 것만 해도 별 다섯개예요 분위기 좋구 막창 맛있었어요!
오블라디,요리주점,,영업 중,4.76,140,감성있는 lp파 노래들으면서 맥주마시기좋아요,맥주에 와인까지 다양해서 좋고 음악 있어서 좋아요 lp는 얼마 없는 것 같아요,사장님이 친절하고 lp음악 잘 들었습니다. 맥주도 맛있게 먹었어요
한가어죽 사당점,한식,,영업 중,,22,저희 집 어죽 맛집만 찾아다닐 정도로 어죽 진짜 좋아해요. 일주일에 한번씩 오고있어요,"사장님 부부 완전 친절! 민물새우,메기,잡고기 매운탕 3종 때리고 단체 모임하고 옴!",사장님 친절하시고 멸치회무침이 특히 맛있어요 도리뱅뱅이도 먹어보고 싶어요 재방문의사 있습니다
양계장집아들 방배본점,"치킨,닭강정",,영업 중,4.38,478,가끔 생각나는 옛날통닭 맛집입니다. 튀겨서 바로 먹으면 바삭바삭 진짜 맛있어요.,갓 튀긴 치킨은 못참지!^^ 매장에서 먹는게 무조건 맛있습니다! 문어튀김. 쥐포튀김도 강추!,방배동 맛집입니다. 치킨도 다른곳보다 저렴합니다.
토리아에즈 이수점,이자카야,,영업 중,,131,이수역 오거리에 바로 있고 혼술 하기 너무 좋습니다. 맥주 이자카야로는 최고라고 생각합니다.,술맛있었는데 꼬치가 한꺼번에 안나오고 하나씩 나옴.,달달하고 상콤한 하이볼에 가성비 좋은 꼬치까지! 꼬치 원하는대로 골라서 수량 제한없이 시킬수있어서 좋아요
카츠공방 내방역점,돈가스,,영업 중,,999+,마제소바랑 모듬카츠 먹었습니다. 삿포로맥주에 돈카츠 조합 참 좋아요. 약간 매콤합니다.,튀김이 맛있고 전반적으로 맛이 깔끔해서 좋아요! 부모님과 간단하게 점심 먹기 좋아요,카츠공방 너무 맛있습니다! 시그니처메뉴도 맛있고 치즈카츠도 최고입니다 양도 굉장히 푸짐하고요
요굿트,"카페,디저트",,오늘 휴무,,182,바닐라 그릭요거트 비요뜨를 압축시켜 놓은 맛이랄까요 산미 없고 맛있어요!,꿀 뿌려 먹으니까 더 맛도리. 요즘 최애 요거트 집이에요,요거트 맛도 다양하고 매장도 깔끔해서 너무 좋아요 쿠폰도 있으니 자주 와서 도장 찍어야 되겠어요
강원도감자옹심이,한식,,영업 중,4.09,378,보리밥은 기본으로 나옵니다 옹심이는 씹을수록 고소하고 맛있어요 칼국수는 감칠맛이 좋아요,옹심이 뿐 아니라 함박스테이크 숙주.계란후라이에 소스가 밥과 같이 너무너무 맛나게 잘 어울려요,옹심이 감자가 맛있다고 해서 갔는데 우리 동네 옹심이 칼국수가 더 맛있어요
버거앤프라이즈 이수역점,햄버거,,영업 중,4.39,331,"햄버거빵 부드럽고 폭신하니 쫄깃하고요 새우패티,소고기패티 넘 맛났어요.",깔끔하고 건강한 수제버거 맛입니다 가끔 오는데 늘 만족합니다,와 수제버거 맛집입니다 진짜 너무너무 맛있었요ㅋㅋㅋ 불고기버거에 통살새우패티 추가해서 먹었는데 대박ㅋㅋㅋㅋ
공평동꼼장어 이수점,"장어,먹장어요리",,영업 중,,,2번째방문 사장님 친절해용 근데 직원이1명이라 너무너무 바빠유 김치칼국수 도시락 굿,"꼼장어 1인분 13,000원 맛있고, 친절해요.",초딩 아이들이 있어서 기대없이 돼지왕갈비를 시켰는데.왕갈비 숨은 맛집이었음!
낭만짚불구이 이수역점,요리주점,,영업 중,,104,이수역 데이트하기좋은 술집 . 트러플 감자전에 반해서 종종 오고있어요.,대통주 새로같은 느낌나네욥 너무 쓰지 않고 맛있어요 짚불 불닭구이 딱 불닭볶음면 정도의 맵기입니당 추천,사장님도 너무 친절하시고 들깨 수제비 진짜 고소해서 맛있습니다 안주도 가성비최고 또 방문할게요
파리바게뜨 이수태평점,베이커리,,영업 중,4.33,999+,케익 픽업했습니다. 항상 변함없는 맛입니다!:),꾸미기케익 좋네요!ㅎㅎ 크림이 느끼하지않고 맛있습니다,"모카빵,옥수수식빵 맛나게먹었어요"
곽반장,중식당,,오늘 휴무,4.41,999+,쉬는 주말에 종종 찾는 짬뽕맛집. 내입맛에는 너무 맵거나 자극적이지않고 무난해서 좋은맛,짜장면이랑 짬봉이 진짜 맛있는데 탕수육은 더 맛있어서 가는 곳 입니다 ㅎㅎ,짬뽕에 낮술 반주하기 좋아요. 만두 가격이 천원 올라 서운하지만 그래도 아직 열개 나와 양은 그대로그대로구요.
지구커피,카페,,영업 중,,538,커피 맛있다는 리뷰들이 꽤있길래 왔습니다. 인정합니다 고소하니 넘 맛있게 먹었습니다^^,이수역 골목에 위치한 작은 카페입니다 쿠키도 맛있고 음료도 다 너무 맛있습니다 !,저 크키 진짜 맛있게 먹었구요 커피도 맛있었어요 가까우면 자주갈테텐데
참치아도로 이수본점,생선회,새로오픈,영업 중,,,매장이 깨끗하고 사징님이 친절합니다 참치회를 많이 먹어보진 않았지만 거부감없이 맛있게 잘 먹었습니다,참다랑어인데 이가격에 이퀄리티로 먹을수있다는게 너무 좋았습니다 잘먹고 갑니다^^,
어부의딸,한식,,영업 중,4.48,250,제철맞은 산쭈꾸미구이랑 샤브 고소하고 맛있어여! 같이나온 마늘쫑은 꼭 구워드셔보세요!,제철인 쭈꾸미 먹으러 다녀왔습니다. 신선하고 정말 맛있었어요! 구이도 샤브도 모두 추천!,서울에서 먹기 힘든 산쭈꾸미랑 산꼼장어 먹을 수 있어요. 산쭈꾸미샤브도 있음.
쌈이랑고기랑 쌈밥,쌈밥,,영업 중,4.33,377,바싹불고기같고 쌈 종류는 많지는 않은데 반찬이나 밥 된장찌개 다 집밥같이 맛있음,오늘은 대패삼겹먹었는데 맛있어서 많이 먹었습니다. 맛과 친절에 대한 보답으로 싹비우고 정리해봤네요,오늘의 밥상은 황태탕 정식 :9 맛있고 따끈하게 잘 먹었습니다!
미얏베이커리,베이커리,,영업 중,,57,이름부터 귀염뽀짝한 곳 무화과 깜빠뉴 맛있어요,고양이를 좋아하신다는 사장님 그래서 가게이름도 미얏베이커리라고 합니다,집앞에 소금빵 맛집이 생겼네요-! 소금빵 존맛입니다 꼭먹어보세요!
인생극장쪽갈비 이수점,돼지고기구이,,영업 중,,430,요기집은 완전 감성 지대루에 반찬들 알차구 (백김치 ㄹㅇ 완전 맛남. 쪽갈비랑 꼭 같이 시킵시다!,인생극장쪽갈비이수점 소금구이쪽갈비/양념쪽갈비 뜯어서 먹는 맛이 제대로인 쪽갈비!,쪽갈비 오랜만에 먹는데 뼈랑 살이 잘 불리되서 먹기 편하더라구요 ㅎㅎ
이수살롱,"카페,디저트",,영업 중,4.66,264,"당일에 디저트를 아무것도 먹을 수 없어서 아쉬웠지만, 샹그리아 레드 정말 맛있게 먹었습니다.",할로윈 분위기 흠뻑이네요 ^-^ 음악 분위기도 너무좋고 커피도 맛있어요.,브런치가 예약이엿따니! 그래도 쿠키맛낫어용 헤헤
옹기종기식당,한식,,영업 중,,45,,,
제이앤제이바,바(BAR),,영업 전,,513,이수술집 중에 이런 가성비 좋고 분위기 좋은 바가 있다니! 칵테일도 위스키도 너무 맛있었어요,이수역에서 가볍게 2차로 한잔 하고싶어서 가게 되었어요 같이 먹었던 애플모히토 칵테일도 너무 맛있었어요!,칵테일맛이 다 좋아요 사장님도 친절하시구요:)
시스트로,양식,,영업 중,4.27,184,"이전 리뷰에서 유명한 앉은뱅이 리조또(토마토), 바칼라, 가지볼로네제 먹었습니다 추천",리조또 두그릇은 첫경험 ㅋ 둘다 만족 ^^ 아마트리치아나도 좋은데 좀더 매콤해두 더 좋을것 같네요,와인 모임히기 좋은 이수역 이탈리안 레스토랑이에요 와인 한잔하며 식사하기 좋습니당!
양모리,"곱창,막창,양",,영업 중,4.31,264,방배 양고기 맛집! 가격은 좀 비싼편이지만 정갈하고 사장님이 친절하셔요!양볶음밥 맛있고 고기도 맛나요,내방역 가까이 있는 맛집 양모리! 양모리에서 특양구이를 먹었는데 계란찜과 밑반찬이 모두모두 맛있었어요.,양대창은 앞으로 양모리입니다. 진짜 부드럽고 쫄깃하구 미쳤어요
타코익스프레스,"멕시코,남미음식",,영업 중,,47,1. 하드타코 개마시씀 2. 채식타코 대박임 고기 보다 더 고기고기함 3. 숨겨진 하이볼 맛집임,가성비 타코 맛집인데 와 맛있다보단 가격 대비 만족스럽다 정도의 타코입니다.,"조금 이른 점심으로 돼지고기 부리또에 감자튀김과 살사, 고수 추가해서 먹었습니다!"
이삭토스트 이수역점,토스트,,영업 중,4.58,842,토스트 너무너무 맛있고 사장님이 너무너무 친절하셔서 아침부터 기분 좋은 하루를 시작할 수 있었어요,프렌치토스트 맛있어요! 포슬포슬 업그레이드 되어서 너무 좋아요,진짜 여기 사장님 세상에서 제일 친절하심. 이삭토스트 항상 맛있게 잘 먹구 있습니당 ㅎㅎ
단미,"카페,디저트",,영업 중,4.67,161,분위기 너무 좋고 마카롱 가격도 착해서 좋아요! 이런 골목에 귀여운 마카롱 집이 있어서 너무 좋아요,쫀득쫀득맛있어요 마카롱 투어투어라고해야하나?^^ 찐한맛이 일품이네요 말차 추천합니다^^,진짜 정말 맛있어요 다음에도 꼭 방문 할려구요 특히 크림브륄레 맛있어요 ㅎㅎ 화이트데이 세트도 너무 이뻐요
스타벅스 이수역사거리점,카페,,영업 중,4.43,999+,커피한잔 마시고 창밖바람도 적당이불고.일하느라쌓인 피로가 너무기분업 시켜주네요.,카페라떼에서 우유를 오트(+600)로 바꾸니 더 맛있어지네요 스벅을 이용하는 새로운 방법을 터득했습니다,스타벅스 꾸덕한 그릭요거트에 바삭한 그래놀라 넣어 먹으니 맛있어요. 점심식사로 샌드위치도 좋네요.
할리스커피 이수역점,카페,,영업 중,4.16,999+,망고빙수 맛있어요! 가게도 시원하고 좋았어요:),크로크무슈 따뜻하니깐 맛있어요 아라맛도 적당히 진해서 맛있네요,맛있네요 투썸이랑 다르게 빵부분이 많아 더 케이크같은 느낌!
라밥이수2호점,종합분식,,24시간 영업,,999+,맛있게 잘 먹었습니다 :) 식사량이 많이 줄었는데 미니김밥 메뉴가 있어서 너무너무 좋아요. 그리고 사장님?,뚝배기떡볶이가 진짜 맛있었고 김밥은 묵은지참치김밥이 정말 최고엿어요,루꼴라김밥 괜찮아요 늦은시간까지 여는게 좋아요
반,소고기구이,,영업 중,4.5,352,야채무침 백김치 샐러리장아찌와 고기가 깔끔하게 맛있고 새우젓도 맛있습니다.,이베리코 신선하고 육즙 많아서 맛있어요ㅋㅋ조용하고 분위기 좋은 고깃집이에요 이수역맛집으로 추천!,이베리코 돼지고기 먹었는데 잡냄새없고 존맛이네요
시선 이수역점,이자카야,,영업 중,,289,소고기 스키야키 너무 맛있어요! 안주도 맛있고 가성비 좋은 힙한 이자카야예요.,사시미 모듬꼬치 모두 너무 맛있어요 ㅎㅎ ! 술이랑 찰떡궁합이에요 술집 찾으신다면 시선으로,우와 꼬치가 어떻게 이렇게 맛있을수 있나요 이수역에서 제일 괜찮은 이자카야입니다
꿀돈,"육류,고기요리",,영업 중,,286,남자친구랑 오랜만에 고기먹으려고 방문했어요 ! 매장 깔끔해서 분위기 좋구 고기가 질이 정말 좋네요 ㅎㅎ,이수역 고기집 꿀돈! 고기질 넘넘 좋구요 목살 진짜 맛있습니다,이수/방배의 신선한 돼지고기집을 찾으신다면 이곳을 강추드립니다. 재방문 의사 200% 있어요!
오빠화이팅 이수점,이자카야,,영업 중,,133,그리고 닭껍질튀김하고 홍콩식오이무침 조합 최고예요 ! 완전 둘이 결혼(?)한 조합이에요ㅋㅋㅋㅋㅎㅎ,저렴하지만 맛있는 안주. 은행. 마늘구이. 염통. 닭목살. 모래집 진짜 맛있어요,생맥주 맛있어요 꼬치구이도 맛있고 운좋게 먹은 수제치즈두부도 맛있고 홍콩식 오이무침도 맛있고 다 맛있어용
갯벌의 조개 이수점,조개요리,,영업 중,,507,갔더니 여름 이벤트로 무료 사이즈업과 닭백숙도 서비스로 넣어준다고 하시더라구요!?ㅎㅎ,이사온지 얼마 안됐는데 와이프가 조개전골 먹고싶다고 해서 검색해서 왔는데 너무 맛있어요,대왕조개전골이랑 사이드 메뉴들 먹었는데 정말 다 맛있고 양도 푸짐하고 해산물 종류도 다양해서 좋았어요
샐러드식당 사당점,"다이어트,샐러드",,영업 중,,240,점심에 혼밥하기 좋아요 샐러드 양을 많이 줘요,닭가슴살 샐러드 먹었습니다. 가격만큼 양이 많았어요! 식단 하시는 분들께 추천합니다!,봄에 생긴 새로운 동네 샐러드집! 오미자차도 달달상큼해서 같이 먹기 좋네요.
왓츠플레이버,햄버거,,영업 중,,381,여기오레오쉐이크넘맛있어요 감기걸려도 무조건 먹게되는맛 .,클래식버거 너모 맛있어요! 빵부터가 담백하니 맛있고 재료들이 신선합니다 패티 퀄리티도 굿굿,뿌듯 사진은 클래식이 작아보였는데 절대아님! 따수운 직원분과 사장님 친절합니댜 수제버거 쨩
인쌩맥주 이수역점,"맥주,호프",,영업 중,,578,혼술하기에도 좋아요. 홍차주랑 김치우동 맛있었어요!,"생맥주 외에도 자몽, 블루베리, 벌꿀 맥주가 있어 좋네요. 과일 안주가 가격대비 잘 나오는 느낌입니다.",2차로 갔는데 살얼음맥주와 떡뽁이 너무 맛있어요!
은은,바(BAR),,영업 중,,60,분위기 좋고 친절한 사장님과 직원분의 응대 맛있는 칵테일과 하이볼로 더 즐거운 시간이였어요,친절한 사장님과 직원 덕분에 정말 힐링하고 많이 웃고가요! 칵테일은 말할 필요 없이 맛있어요!,이수역에 새로생긴 위스키바인데 처음에 혼자 방문했다가 너무 좋아서 친구까지 불러서 같이 먹었습니다.
윤초밥 이수역점,"초밥,롤",,영업 중,,662,"저는 '윤초밥 정식', '연어모듬초밥 정식'을 주문해 먹었어요!",가심비 초밥이라는 홍보문구가 딱 맞아요. 생새우초밥은 좋았는데 나머지는 가성비에요.,"가성비 좋은 초밥집 :) 특히 세트메뉴는 구성, 맛, 가격 다 좋아서 좋더라구요!"
하코야 이수역점,일본식라면,,영업 중,4.28,261,혼밥 하기도 좋을거같고 돈코츠라멘 국물이 담백 짭쪼름해서 맛있었어요 너무 행복한걸요,늘 맛있고 사장님이 친절하세요 국물이 담백하고 깊어서 돈코츠라멘은 여기서만 먹음!,매운규동(일본식 소고기덮밥)을 주문하였습니다.
제주호프,"맥주,호프",,영업 중,,42,,,
국밥장인 이수역점,국밥,,영업 중,,669,설렁탕 들기름후라이 너무 맛있어요. 애들도 너무 잘 먹네요.,지나가다 청도미나리곰탕에 끌려 들어왔어요 추가로 사태도 먹고 가성비 갑 입니다^^,한번 가봐야지하다가 오늘 왔는데 맛있네요ㅎㅎ 국밥 생각날때 또 오겠습니다
배스킨라빈스 이수역,아이스크림,,영업 중,4.42,999+,베라 아이스크림 맛있죠. 생일케익으로 최고입니다.,크리스마스를 더욱 특별하게 해주는 다양한 케잌이 기다립니다.,기라델리 쉐이크? 암튼 그거 맛있어여
라바트리 방배,카페,,영업 중,4.71,820,커피 너무너무 맛있어요! 처음 가봤는데 디카페인 원두가 오히려 더 맛있다는 리뷰가 많던데 정말이에요 ㅎ,커피가 맛있어서 자주 들리는 카페에요 크루키가 새로 나왔는데 진짜 맛있어요!,베리몬 처음먹었는데 되게 맛있네요! 저녁이라 커피가 부담스러웠는데 맛있는거 먹구가요!
이디야커피 총신대입구역점,카페,,영업 중,,774,추워서 오랜만에 이디야 방문해서 오곡라떼 따뜻하게 먹으니 옛날 생각나고 좋았어요,편안하고 친구들과 만나기 좋은곳이네요 식사하고 추운데 따뜻한 커피 한잔 좋았어요^^,이디야 버블티 첨인데 맛나네용ㅎㅎ 밀크티도 당도 적당해서 좋아요
반포정 이수점,"육류,고기요리",,영업 중,,476,입짧은 우리딸이 맛있는 고기집이라고 부르는 집입니다^^. 마늘 양념갈비살 넘 맛있구요,가격은 저렴하고 고기질은 좋고! 이수역 최고 소갈비살 맛집입니다. 단체모임 하기에도 좋을 것 같아요!,마늘 듬뿍 올라간 양념소갈비 부드럽고 맛있어요 고수무침과 함께 먹으니 환상세 궁합이구요
담소소사골순대육개장 이수역점,"순대,순댓국",,영업 중,4.29,999+,순대국 맛있어서 혼술 자주가요 친절하고좋습니다,너무 추운날 뜨끗한 순두부랑 육개장 밥한그릇 뚝딱 했네요 잘먹고 갑니다요,맛있습니다ㅋㅋㅋ 순대국중에서는 깔끔한 맛이라 좋아해요
우언트,요리주점,,영업 중,,102,파스타 맛있구! 청양 뇨끼 맛닜어용 ! 데이트하기 좋은 술집,고급스러운 안주에 주류도 다양해서 좋아요 소주와 함께 먹는 파스타 최고에요,피쉬앤누들은 갓튀긴 생선이 통통하고 잔뼈하나 없어서 먹기 간편하면서 특별한 맛이었어요!
방오돈 경양식돈가스 스낵바,돈가스,,영업 중,,43,오늘도 역시나 참! 맛있는 방오돈 돈까스 잘먹고 감니다.,우동이 싸요. 돈까스랑 2개씩 시켜사 니눠 먹으니 딱이네요,
왕금성 이수역점,중식당,,영업 중,,449,코스요리로 먹고 왔는데 구성이 너무 좋아요 맛도리라 싹싹 남김없이 먹고왔어요,이수역에서 제일 맛있는 중국 음식 레스토랑 입니다. 주차도 가능하고룸도 있어서 모임 하기도 좋습니다.,이수역중국집 왕금성 런치코스 향정식 먹고왔어요.
NEW88,베트남음식,,영업 중,,368,쌀국수먹으러 갔는데 반쎄오가 눈에띄어서 주문했어요 전이 바삭하고 채소랑 소스랑 넘환상조합!,먹느라 사진을 못 찍었어요 왕갈비쌀국수 파인애플볶음밥 반쎄오 먹었어요 근데 뚝배기쌀국수가 더 맛있나봐요,2인세트a(뚝배기 쌀국수+껌쓰언+월남쌈) 맛있게 잘먹었어요
국수나무 이수역점,국수,,영업 중,4.62,887,국수보다 돈까스가 더 맛있습니다 특히 김치찌개 돈까스는 깜짝 놀랐습니다,소스아낌없이 넣어주셔서 너무좋아요 밥이더많고 양적어서 허연 덮밥은안좋아하는데 . 맛도좋아요,"맛있는 편이며, 간간히 제육덮밥을 사먹을만한 맛입니다."
레발콩 사당이수 본점,"카페,디저트",,영업 중,,447,"핫한 디저트가 많이 있어요! 예전에 커피집이 많이 있었던 자리였는데, 본중에 제일 예쁘게 변신했네용",처음 왔는데 분위기도 예쁘고 태라스도 좋아서 기분까지 좋아져용 자주올게유! 자두에이드 추천,맥주 마시고싶은 친구와 차를 마시고싶은 친구가 모두 만족하는 곳. 테라스가 너무 이뻐요!
완미족발 서울사당점,"족발,보쌈",,영업 중,,651,족발이랑 보쌈 반반 먹었는데 따듯하니 맛이 있습니다 막국수는 없으니 참고 부탁드려요!,한상차림이 너무 푸짐해서 좋아요! 족발도 맛있어요 ㅎㅎ,족발 정말 맛있구 밑반찬들 진짜 잘어울리고 맛나요 담에도 올게용
마장동 고기집 이수역점,소고기구이,,영업 중,,274,돼지갈비는 처음 시켜봤는데 맛있어요 주류값 너무 좋아요 ^^,맛있게 잘 먹고 친구 잘 만나고 갑니다 고기가 쬐끔 타긴 했지만 고기 맛있었습니다,"사이드로 떡볶이, 콘치즈, 순두부국, 두부김치 등등 다양하게 나와서 좋아요!"
만발,소고기구이,,영업 중,4.65,225,"연잎 밥이 맛있네요. 점심특선 13,000원으로 간단히 먹기에 좋았어요.",장모님 생신이라 맛있는 고기집 찾다가 예약방문했습니다. 재방문 의사 있습니다.,음식이 정갈하다 고기도 맛있을듯
스타벅스 이수자이점,카페,,영업 중,4.47,999+,스타벅스 조각케잌이 다른 카페에 비해서 싸서 부담이 없네요.,슈크림라떼 넘 먹고싶어서 달려왔어요 ! 역시 당충전엔 슈크림라떼가 최고 >_<,딸기 딜라이트 요거트 블렌디드 벤티 god !
투썸플레이스 이수역사거리점,카페,,영업 중,,999+,스누피음료 마셔봤는데 초코바나나우유맛 달달하니 맛있었어용 위에 찰리브라운초코도 달지 않고 맛있고요.,디저트와 커피가 맛있고 분위기가 좋으며 화장실이 깨끗해요,복자요거트프라페 진짜 제 취향 . 진짜 맛있어요 ! 젤리도 씹히고 최고입니다아
싸다김밥 이수역점,분식,,영업 중,4.49,999+,돈까스마요덮밥 조금 느끼하지만 맛있고 푸짐해요!,김밥을 자주 사먹어요 크기도 크고 신선하게 맛있어요 다 맛있어요,김밥이 맛있고 가격도 착해서 너무 좋아요! 매장도 멋지고 직원분께서 너무나 친절하세요!
23번지남산돈까스 이수역점,돈가스,,영업 중,,286,반반 소스 돈까스와 원조돈까스 이렇게 시켜먹었습니다. 역시 왕돈까스라 그런지. 양이 어마무시하네요,"평소 느끼함 때문에 돈까스를 끝가지 다 먹어본 적이 없는데, 여기 돈까스 클리어 했어요 ㄷㄷ.","반반소스 돈가스 세트가 맛있고 양도 많고, 사장님과 직원들도 친절하셔서 만족스럽게 잘 먹었습니다!"
라무진 이수점,양갈비,,영업 중,4.47,478,라무진은 언제나 고기를 구워주셔서 편하게 잘 먹을 수 있어서 좋아여,바로 앞에서 구워줘요 고기질이 좋아보이네요 가격은 있지만 맛있게 잘 먹었습니다,양갈비 처음먹어봤는데 설명도 잘 해주시고 친철하게 구워주셔서 너무 편하게 잘 먹고 왔습니다.
투썸플레이스 이수역점,카페,,영업 중,4.48,999+,달디단 밤양갱 라떼 맛있어요! 양갱 좋아하시는 분들 추천! 바밤바 맛입니다.,찬절하시고 매장도 깔끔하니 분위기도 편해요 망고쥬스넘맛나맛나요^^,"커피시켜서 먹었어요. 공간도2,3층에서 마실 수 있어서 좋긴합니다. 그러나 조용한 분위기는 3층입니다."
빽다방 총신대입구역점,테이크아웃커피,,영업 중,,999+,,,
맛닭꼬 이수역점,"치킨,닭강정",,영업 중,4.36,277,튀긴 치킨이 아니고 구운 치킨이라 다이어트 할 때도 자주 와요 ㅎㅎ 맛있고 건강한 치킨?!,치킨이랑 골뱅이소면 같이 먹어 맛있어요 닭가슴살인데 퍽퍽하지 않고 튀기지 않고 구워 건강한 맛입니다,이수역치킨은 맛닭꼬 맛과 가성비 따라올자없음
이모네막국수,막국수,,영업 중,4.25,494,주차하기 편해서 자주감. 묵사발이 새콤한게 맛잇음,돼지갈비 숯불에 구워나와서 잡내하나도없고 맛있고 장칼국수도 완전맛나맛나요,갈비는 구워서 나와 좋아요. 돌판에 따듯하게 오래 먹을수 있어요
상아김밥 이수점,분식,,오늘 휴무,4.51,979,내돈내산 단골집 상아김밥 라면+주먹밥 조합은 늘 성공적,김밥이 영양이 듬뿍 들어 있어서 너무 좋습니다.,"키토김밥 처음먹어봤는데. 생각보다 맛있고, 떡볶이가 달지않아서 좋았어요"
TMB 숯불닭바베큐,"치킨,닭강정",,영업 중,4.35,372,"담백한 소금구이, 매콤한 양념구이 가족의 입맛대로 먹을 수 있어서 자주 이용해요.",동네 치킨맛집 사람도 많고 맛있어요;),오랫만에 숯불닭갈비 매콤 깔끔맛있어요 맥주가 계속 땡기는맛
소소정,갈비탕,,영업 중,4.12,250,갈비탕도 맛있지만 김치와 고추장아찌도 맛있어요.,가게가 작지만 구석구석 사장님의 손길이 느껴집니다 갈비탕맛은 무난 반찬도 맛이 무난,너무 맛있네요 고기도 신선해요 제가 탕음식은 쩐맛이 좀심하면 못먹는데 그런거 하나도 없구 담백하고 좋네요ㅎ
노모어피자 이수역점,피자,,24시간 영업,,214,늘 옥수수새우피자 먹다가 반반으로 시켜봤어요 맛있는거 아는데 기대되요^^,꼭 먹어보고 싶었는데. 드디어 오늘. 늦은 시간까지 피자를 살 수 있다는. 너무 맛있어요.,뇨끼가 오븐스파게티처럼나오는지는 몰랐음. 맛은 좀 심심했는데 파마산치즈 잔뜩 뿌렸더니 좋더라고요 ㅋㅋ
포몬스 방배점,베트남음식,,영업 중,4.29,999+,방배동쌀국수맛집 거즘20년단골인거같아요 생각날때꼭오구 배달도자주먹어요:) 날추워지니바로 ㄱㄱ 이게s입니당,늘 무난하게 가기 좋은 곳. 주차도 되고 영업시간도 길다. 그러면서도 쌀국수 국물은 어느 곳보다 맛있다.,부담없이 가서 즐기기 좋은 오랜 방배동 쌀국수 맛집이에요.
새퍼커피,카페,,영업 중,4.84,440,커피 가격 넘 착하고 사장님 넘나 친절하시고 일단 커피맛이 넘 좋아요 자주 올거에요,진하고 고소한 라떼가 찐이네요! 무언가 커피 고수의 향이 느껴집니다!,"바닐라라떼랑 커피 ,바스크치즈케이크 모두 맛있어요! 동네에 이런 카페가 있어서 너무 좋아요"
